Id,Closeness_centrality,Betweeness_centrality,Clustering_Coefficient,Popularity_score
2Nl7TO1yi0ambHrlfQORgv,0.28815489749430523,0.0009539038554138176,0.2777777777777778,60
78u1jLVBjPSXQVmHBV43yG,0.29365833069536773,0.03667810828244481,0.003389830508474576,62
2SabhGDiBSyaM6QSuBUVqB,0.279445727482679,0.002155171857066874,0,65
7BgEOZ9w3Y4IMShXTMu1nN,0.28168016194331985,0.0017619233613634642,0.14285714285714285,73
00me4Ke1LsvMxt5kydlMyU,0.28561165845648606,0.02194618601909076,0.008403361344537815,57
0d7jzRhjOifL8X9hxNvbEn,0.2843277482631794,0.0096444485766877,0.032679738562091505,33
5ild2YybiTUOmUsZGP7AVo,0.27927747114902157,0.0,0,58
3o7fC2O4nraaicpID6bBZW,0.2898656389959379,0.0019402874466746694,0.17777777777777778,57
26OG4ryQ7oFAbUNAvYCOgn,0.29403063919704175,0.0008220666297673883,0.34615384615384615,42
3Q4phRnS8Pcq8s5FRA1aIO,0.28631687242798354,0.03890992938156222,0.0010576414595452142,81
0z4gvV4rjIZ9wHck67ucSV,0.33127008689441734,0.054363631818338636,0.01904761904761905,40
26Db0VeiqD1i5GRFjUww3I,0.29322516067853754,0.004037332843386681,0.22058823529411764,50
281AuR0rWkBECMeaAB0pSA,0.2854944604021338,0.010302392461954081,0,45
4zg9VA3wNR2KFwpvPabqa4,0.2805726383708035,0.01646357041429259,0,43
