Artists_Id,Popularities,Followers,Num_Albums,Page_rank,Closeness_centralities,Degree_centralities
5DKuVtlpDH0agZQUFDy8O7,0.58,0.0021265397278716226,0.010101010101010102,0.001194996522461623,0.3610507246376812,0.017561465127947817
1jSMH3JqXunssXcsZSKTJ4,0.45,0.00011202833182467793,0.020202020202020204,0.0005677740932754837,0.33768214164689936,0.008028098344204716
5KhK5p92ykW8s6bKsXgUnX,0.0,8.642494258412955e-08,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
1n2zjHtUdt7oRfvd0tQ5kC,0.0,0.0,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
7t7OOLsPC5m48Wo9VQ5yKr,0.0,0.0,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
0Z9tZTSV0JfkbNzAMLBcIS,0.0,0.0,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
2vChdvrihYUDJidcwukIqd,0.0,3.2409353469048583e-08,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
4Wc5K357L9OWgKtVAc88lS,0.0,0.0,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
7CrVv4zLga71gdlMOMfjXL,0.46,0.00017606921427951793,0.0018365472910927456,0.00042338372580545637,0.32264853488748585,0.005017561465127948
5eGENdlc6kQZeuzUJZ4W8B,0.31,2.2427272600581618e-05,0.017447199265381085,0.0009782397491136907,0.3424987111187489,0.012543903662819869
6sEkW7DJgqVdeIXOwkXkkE,0.06,1.112721135770668e-06,0.0036730945821854912,0.00015357052818838686,0.30321010193214665,0.0010035122930255895
6B8nU8hpONPJN5acoiI0kK,0.3,1.0489827406148723e-05,0.0018365472910927456,0.0003873192919681804,0.31816730523627074,0.005017561465127948
6ns6XAOsw4B0nDUIovAOUO,0.66,0.004372853623047026,0.0073461891643709825,0.0006221265908721561,0.32953042328042326,0.007526342197691921
09CPk1EIOAjXyuQWsQXhmu,0.09,2.3766859210635627e-07,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
50NoVNy9GU1lCrDV8iGpyu,0.69,0.008265454643271867,0.006427915518824609,0.0007033059911299368,0.34964912280701754,0.0095333667837431
1W9qOBYRTfP7HcizWN43G1,0.59,0.005771090359762189,0.006427915518824609,0.0005406003303234559,0.3595525888508028,0.007526342197691921
1YfEcTuGvBQ8xSD1f53UnK,0.76,0.02146162511085349,0.03213957759412305,0.0043439987267677015,0.4629500580720093,0.07275464124435524
2WP6obWWFMbDECHzRBvrsz,0.32,2.992463636975486e-06,0.0,0.0002471347423101711,0.3270966683078943,0.002508780732563974
1q13yHC6Syg5Y8iPLrRnCq,0.55,0.0015472873533193174,0.011019283746556474,0.000909342087162145,0.3640182648401826,0.015052684395383842
6DJEUXZm0e2rAohdoZ5Voo,0.59,0.0017675305163771485,0.0027548209366391185,0.0012378598864692652,0.3780349013657056,0.019568489713998997
7yDIZAht01vqbMZ5NG5xwM,0.05,1.728498851682591e-07,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
5FtiFDKYXZVHrm011mhQmL,0.18,3.1004948152056475e-06,0.0009182736455463728,0.00015500203529597513,0.31852325395556974,0.0010035122930255895
7xTKLpo7UCzXSnlH7fOIoM,0.7,0.009821362884613952,0.017447199265381085,0.0013327106819992324,0.37547098718914845,0.02207727044656297
0W7nWv2YrpKKwsTJPWgJ8L,0.18,3.316557171665972e-05,0.0009182736455463728,0.00018305556109399554,0.3199036918138042,0.0015052684395383841
0bbN8BIF8Ys24597Zajine,0.42,2.7764012805151617e-05,0.0,0.000290826375281177,0.3413255694468231,0.003512293025589563
1QXbBsyFYH4tv7stDV5zKx,0.13,2.8952355765683398e-06,0.004591368227731864,0.00023851914708073545,0.3372821120324928,0.002508780732563974
59NO6KX7wQCG7jGdtH1NtL,0.54,0.004834017116675941,0.020202020202020204,0.0017107501318052766,0.40401378471518345,0.024586051179126944
1iqf0x89oxmmAFv9w9hiJM,0.41,5.7645436703614407e-05,0.017447199265381085,0.0007912664408539578,0.3546263345195729,0.013547415955845458
5PpQnfyJjOpGsT7LfeBGxV,0.02,6.049745980889068e-07,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
1eNkUXHPaXyuyC8NAgzykK,0.59,0.016903832913794253,0.004591368227731864,0.00021836305427556889,0.3155977830562154,0.0015052684395383841
1P8IfcNKwrkQP5xJWuhaOC,0.66,0.013775887376200321,0.028466483011937556,0.0013711126916194569,0.38158146659008235,0.02207727044656297
4sbB4Yy6Qig51pKCIKSLw3,0.59,0.012434096930110418,0.011019283746556474,0.0004948389954251282,0.35832434376123695,0.007024586051179126
2DzRMyWgjuMbYvt5BLbpCo,0.64,0.0140395698760245,0.01652892561983471,0.0014356402147418733,0.398360983409954,0.02107375815353738
5EkPgNzxiQ16jv7ajN5feK,0.32,3.346805901570417e-05,0.006427915518824609,0.0004088804862249779,0.31776147959183676,0.004515805318615153
7urq0VfqxEYEEiZUkebXT4,0.69,0.009944918143155788,0.010101010101010102,0.0006587026138188449,0.3620345140781108,0.01053687907676869
6PCMMSSuTf9iCVVxYru5XI,0.29,0.00038502311921229717,0.0027548209366391185,0.0002444583285617926,0.3291494632535095,0.002508780732563974
4o9NmY8SxYat5VE9AsYr4z,0.08,4.5373094856668015e-07,0.0,0.00012026009965155357,0.3028415134478043,0.0005017561465127947
